director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
james cameron,cch pounder,joel david moore,wes studi,action|adventure|fantasy|sci-fi,avatar
gore verbinski,johnny depp,orlando bloom,jack davenport,action|adventure|fantasy,pirates of the caribbean: at world's end
sam mendes,christoph waltz,rory kinnear,stephanie sigman,action|adventure|thriller,spectre
christopher nolan,tom hardy,christian bale,joseph gordon-levitt,action|thriller,the dark knight rises
doug walker,doug walker,rob walker,unknown,documentary,star wars: episode vii - the force awakens
andrew stanton,daryl sabara,samantha morton,polly walker,action|adventure|sci-fi,john carter
sam raimi,j.k. simmons,james franco,kirsten dunst,action|adventure|romance,spider-man 3
nathan greno,brad garrett,donna murphy,m.c. gainey,adventure|animation|comedy|family|fantasy|musical|romance,tangled
joss whedon,chris hemsworth,robert downey jr.,scarlett johansson,action|adventure|sci-fi,avengers: age of ultron
david yates,alan rickman,daniel radcliffe,rupert grint,adventure|family|fantasy|mystery,harry potter and the half-blood prince
zack snyder,henry cavill,lauren cohan,alan d. purwin,action|adventure|sci-fi,batman v superman: dawn of justice
bryan singer,kevin spacey,marlon brando,frank langella,action|adventure|sci-fi,superman returns
marc forster,giancarlo giannini,mathieu amalric,rory kinnear,action|adventure,quantum of solace
gore verbinski,johnny depp,orlando bloom,jack davenport,action|adventure|fantasy,pirates of the caribbean: dead man's chest
gore verbinski,johnny depp,ruth wilson,tom wilkinson,action|adventure|western,the lone ranger
zack snyder,henry cavill,christopher meloni,harry lennix,action|adventure|fantasy|sci-fi,man of steel
andrew adamson,peter dinklage,pierfrancesco favino,damián alcázar,action|adventure|family|fantasy,the chronicles of narnia: prince caspian
joss whedon,chris hemsworth,robert downey jr.,scarlett johansson,action|adventure|sci-fi,the avengers
rob marshall,johnny depp,sam claflin,stephen graham,action|adventure|fantasy,pirates of the caribbean: on stranger tides
barry sonnenfeld,will smith,michael stuhlbarg,nicole scherzinger,action|adventure|comedy|family|fantasy|sci-fi,men in black 3
peter jackson,aidan turner,adam brown,james nesbitt,adventure|fantasy,the hobbit: the battle of the five armies
marc webb,emma stone,andrew garfield,chris zylka,action|adventure|fantasy,the amazing spider-man
